Date,ID,Sector,Country,Coupon,Market_Value,Market_Value_BOM,OAS,Modified_Duration,Index_Rating,Excess_Return_MTD,Total_Return_MTD
4/1/2020,B001,CONS,Austria,3,205874.5138,206273.344,311.12,1.181,BA1   ,-0.1701,-0.2024
4/1/2020,B002,CONS,Austria,1.625,456765.5078,464906.695,527.827,3.29,BA1   ,-1.6468,-1.7601
4/1/2020,B003,IND,Austria,2,245037.4887,243809.0025,365.089,3.828,BA1   ,0.5873,0.4947
4/1/2020,B004,TECH,Belgium,3.5,568131.7586,568250.31,478.825,5.605,BA3   ,0.0442,-0.03
4/1/2020,B005,IND,Belgium,4.25,298154.1758,298863.081,468.163,3.65,BA1   ,-0.1476,-0.2463
4/1/2020,B006,CONS,Belgium,4.375,271737.0829,272396.2607,1109.64,5.069,B1    ,-0.1537,-0.2511
4/1/2020,B007,IND,Belgium,5.75,196793.5115,197072.667,1442.91,5.057,B1    ,-0.0532,-0.1508
4/1/2020,B008,IND,Switzerland,3.5,180506.0206,179380.6025,115.429,2.383,BA1   ,0.368,0.6533
4/1/2020,B009,IND,Switzerland,2.125,161961.8999,161819.6133,132.332,4.333,BA1   ,-0.218,0.1137
4/1/2020,B010,IND,Switzerland,3.5,187022.678,186474.235,401.147,3.678,BA1   ,-0.0435,0.32
4/1/2020,B011,IND,Switzerland,1.5,185344.7946,181798.4485,318.829,3.011,BA2   ,1.6603,1.9771
4/1/2020,B012,CONS,Germany,1.375,494694.1782,496755.33,308.872,1.539,BA1   ,-0.3753,-0.424
4/1/2020,B013,IND,Germany,2.5,521175.8728,519443.412,627.565,4.516,BA3   ,0.4227,0.3244
4/1/2020,B014,IND,Germany,8,129699.4835,131058.333,1842.1801,1.753,CAA2  ,-0.9885,-1.0458
4/1/2020,B015,CONS,Germany,2.75,1000696.916,1031103.095,764.453,2.798,BA1   ,-2.8676,-2.9577
4/1/2020,B016,IND,Switzerland,5.625,326009.638,325921.75,1031.9201,2.021,CAA1  ,0.0786,0.0179
4/1/2020,B017,FIN,Germany,3.5,259990.735,259794.36,995.035,2.713,BA1   ,0.1489,0.0665
